# x, Cp
0.000000, 0.215000
0.356260, 0.216840
1.333310, 0.107558
3.661080, 0.022040
7.292200, -0.092762
11.356040, -0.225733
15.591350, -0.389292
19.913280, -0.524027
24.284430, -0.680265
28.686270, -0.823470
33.105180, -0.995731
37.531280, -1.143805
41.959910, -1.317407
46.387930, -1.462606
50.815600, -1.678411
55.248600, -1.652384
59.692230, -1.719885
64.136850, -1.690102
68.579000, -1.733148
73.024010, -1.779759
77.473570, -1.790376
81.931140, -1.804674
86.385890, -1.837255
90.810800, -1.879420
100.000000, -1.903722
0.000000, -1.911925
0.431230, -1.901077
1.471470, -1.905753
3.924790, -1.875932
7.795060, -1.847950
12.014300, -1.850441
16.322760, -1.806629
20.670130, -1.830126
25.037920, -1.776462
29.415540, -1.712755
33.797720, -1.552799
38.186750, -1.327411
42.575270, -1.225719
46.962780, -1.139895
51.350620, -1.011370
55.736620, -0.984653
60.120750, -0.913625
64.505020, -0.840029
68.890100, -0.792537
73.280110, -0.762907
77.677830, -0.747766
82.079650, -0.698357
86.479780, -0.680686
100.000000, -0.669762
